# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# T10N      : Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur / Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period
# TD        : Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# DR        : Duur van de neerslag (in 0.1 uur) per uurvak / Precipitation duration (in 0.1 hour) during the hourly division
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# FF        : Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation
# FX        : Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak / Maximum wind gust (in 0.1 m/s) during the hourly division
# SQ        : Duur van de zonneschijn (in 0.1 uren) per uurvak; berekend uit globale straling  (-1 for <0.05 uur) / Sunshine duration (in 0.1 hour) during the hourly division; calculated from global radiation (-1 for <0.05 hour)
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,   HH,    T, T10N,   TD,   DR,   RH,   DD,   FH,   FF,   FX,   SQ,    Q
  260,20210102,   14,   39,     ,   35,    0,    0,  220,   10,   10,   30,    0,   19
  260,20210102,   15,   39,     ,   37,    0,    0,  220,   10,   10,   20,    0,    8
  260,20210102,   16,   39,     ,   32,    0,    0,  150,   10,   20,   30,    0,    1
  260,20210102,   17,   37,     ,   34,    0,    0,  130,   20,   20,   30,    0,    0
  260,20210102,   18,   35,   36,   33,    0,    0,  160,   20,   20,   30,    0,    0
  260,20210102,   19,   37,     ,   34,    0,    0,  110,   10,   10,   20,    0,    0
  260,20210102,   20,   38,     ,   33,    0,    0,  110,   10,   10,   20,    0,    0
  260,20210102,   21,   38,     ,   34,    3,    1,    0,   10,    0,   20,    0,    0
  260,20210102,   22,   36,     ,   33,    2,    1,   50,   10,   10,   20,    0,    0
  260,20210102,   23,   36,     ,   29,    0,    0,   50,   10,   20,   30,    0,    0
  260,20210102,   24,   36,   34,   27,    0,    0,   60,   10,   20,   30,    0,    0
  260,20210103,    1,   32,     ,   24,    0,    0,   70,   20,   30,   50,    0,    0
  260,20210103,    2,   29,     ,   26,    0,    0,   60,   20,   20,   40,    0,    0
  260,20210103,    3,   31,     ,   26,    0,    0,   50,   20,   20,   40,    0,    0
  260,20210103,    4,   31,     ,   26,    0,    0,   60,   20,   30,   40,    0,    0
  260,20210103,    5,   31,     ,   24,    0,    0,   60,   30,   30,   50,    0,    0
  260,20210103,    6,   29,   26,   20,    0,    0,   50,   30,   30,   50,    0,    0
  260,20210103,    7,   29,     ,   23,    0,    0,   40,   30,   20,   40,    0,    0
  260,20210103,    8,   30,     ,   23,    0,    0,   30,   20,   20,   40,    0,    0
  260,20210103,    9,   31,     ,   23,    0,    0,   30,   30,   30,   50,    0,    3
  260,20210103,   10,   35,     ,   19,    0,    0,   50,   30,   40,   60,    0,   15
  260,20210103,   11,   35,     ,   -1,    0,    0,   50,   40,   30,   70,    0,   12
  260,20210103,   12,   35,   25,    3,    0,    0,   40,   30,   40,   70,    0,   12
  260,20210103,   13,   39,     ,    5,    0,    0,   40,   40,   40,   60,    0,   20
  260,20210103,   14,   39,     ,   10,    0,    0,   40,   40,   50,   80,    0,   18
  260,20210103,   15,   38,     ,    4,    0,    0,   40,   50,   50,   90,    0,    4
  260,20210103,   16,   36,     ,   -5,    0,    0,   60,   50,   50,   90,    0,    0
  260,20210103,   17,   35,     ,   -7,    0,    0,   40,   40,   40,  100,    0,    0
  260,20210103,   18,   35,   27,   -2,    0,    0,   30,   40,   40,   80,    0,    0
  260,20210103,   19,   35,     ,    0,    0,    0,   20,   50,   50,   80,    0,    0
  260,20210103,   20,   33,     ,    4,    0,    0,   20,   50,   50,   80,    0,    0
  260,20210103,   21,   32,     ,    7,    0,   -1,   30,   40,   40,   80,    0,    0
  260,20210103,   22,   30,     ,   12,    0,   -1,   30,   50,   50,   90,    0,    0
  260,20210103,   23,   30,     ,   15,    6,    1,   30,   40,   50,   90,    0,    0
  260,20210103,   24,   32,   26,   17,    0,   -1,   40,   40,   50,   90,    0,    0
  260,20210104,    1,   31,     ,   18,    6,    1,   40,   50,   50,   90,    0,    0
  260,20210104,    2,   29,     ,   19,    7,    2,   40,   50,   40,   90,    0,    0
  260,20210104,    3,   29,     ,   20,   10,    6,   50,   50,   40,   90,    0,    0
  260,20210104,    4,   29,     ,   19,    7,    1,   50,   50,   50,   90,    0,    0
  260,20210104,    5,   30,     ,   17,    0,   -1,   50,   50,   50,   90,    0,    0
  260,20210104,    6,   30,   27,   18,    0,   -1,   50,   50,   40,   80,    0,    0
  260,20210104,    7,   31,     ,   17,    5,    1,   50,   50,   50,  100,    0,    0
  260,20210104,    8,   31,     ,   18,    0,   -1,   50,   50,   50,   90,    0,    0
  260,20210104,    9,   34,     ,   19,    0,   -1,   50,   50,   60,   90,    0,    5
  260,20210104,   10,   35,     ,   15,    0,   -1,   40,   60,   50,  100,    0,   13
  260,20210104,   11,   32,     ,   14,    0,   -1,   30,   60,   50,  100,    0,   11
  260,20210104,   12,   31,   27,    9,    0,   -1,   40,   60,   60,  110,    0,   10
  260,20210104,   13,   29,     ,    5,    0,    0,   40,   60,   60,  110,    0,    6
  260,20210104,   14,   29,     ,    1,    0,    0,   40,   60,   70,  130,    0,    5
  260,20210104,   15,   27,     ,   -1,    0,    0,   30,   50,   50,  100,    0,    4
  260,20210104,   16,   26,     ,   -3,    0,    0,   30,   60,   60,  110,    0,    1
  260,20210104,   17,   25,     ,   -2,    0,    0,   40,   50,   50,  100,    0,    0
  260,20210104,   18,   24,   21,    0,    0,    0,   40,   50,   50,   80,    0,    0
  260,20210104,   19,   25,     ,   -1,    0,    0,   40,   50,   50,   90,    0,    0
  260,20210104,   20,   25,     ,    1,    0,    0,   40,   50,   50,   90,    0,    0
  260,20210104,   21,   26,     ,    0,    0,    0,   40,   50,   60,  100,    0,    0
  260,20210104,   22,   24,     ,    1,    0,    0,   40,   60,   60,  100,    0,    0
  260,20210104,   23,   23,     ,    3,    0,    0,   40,   50,   40,   80,    0,    0
  260,20210104,   24,   23,   21,    3,    0,    0,   40,   50,   50,   90,    0,    0
  260,20210105,    1,   23,     ,    3,    0,    0,   40,   50,   50,   80,    0,    0
  260,20210105,    2,   21,     ,    4,    0,   -1,   40,   50,   40,   90,    0,    0
  260,20210105,    3,   22,     ,    4,    0,    0,   50,   50,   40,   80,    0,    0
  260,20210105,    4,   23,     ,    4,    0,    0,   40,   40,   40,   70,    0,    0
  260,20210105,    5,   23,     ,    5,    0,    0,   40,   40,   40,   70,    0,    0
  260,20210105,    6,   22,   20,    7,    0,    0,   60,   40,   50,   90,    0,    0
  260,20210105,    7,   23,     ,    9,    0,   -1,   50,   40,   30,   80,    0,    0
  260,20210105,    8,   24,     ,   12,    5,    1,   40,   40,   40,   60,    0,    0
  260,20210105,    9,   27,     ,   11,    0,   -1,   50,   30,   40,   70,    0,    2
  260,20210105,   10,   29,     ,   14,    0,    0,   40,   40,   30,   70,    0,    5
  260,20210105,   11,   34,     ,   15,    0,    0,   50,   40,   40,   70,    0,   16
  260,20210105,   12,   31,   21,   17,    0,    0,   30,   40,   40,   80,    0,   10
  260,20210105,   13,   31,     ,   17,    0,    0,   40,   40,   40,   70,    0,    8
  260,20210105,   14,   29,     ,   17,    0,    0,   40,   40,   40,   70,    0,    5
  260,20210105,   15,   31,     ,   16,    0,    0,   40,   40,   40,   70,    0,    4
  260,20210105,   16,   32,     ,   15,    0,   -1,   50,   40,   40,   80,    0,    0
  260,20210105,   17,   33,     ,   14,    0,    0,   60,   40,   50,   80,    0,    0
  260,20210105,   18,   33,   28,   16,    0,   -1,   50,   40,   50,   80,    0,    0
  260,20210105,   19,   35,     ,   19,    0,    0,   60,   40,   40,   70,    0,    0
  260,20210105,   20,   36,     ,   19,    0,    0,   50,   40,   40,   70,    0,    0
  260,20210105,   21,   35,     ,   20,    0,    0,   40,   40,   40,   70,    0,    0
  260,20210105,   22,   35,     ,   21,    0,    0,   40,   30,   30,   60,    0,    0
  260,20210105,   23,   34,     ,   20,    0,    0,   50,   40,   40,   80,    0,    0
  260,20210105,   24,   32,   30,   19,    0,   -1,   40,   50,   50,   80,    0,    0
  260,20210106,    1,   30,     ,   18,    6,    1,   40,   40,   40,   70,    0,    0
  260,20210106,    2,   29,     ,   14,    0,   -1,   30,   40,   40,   80,    0,    0
  260,20210106,    3,   24,     ,    8,    0,    0,   40,   50,   50,   90,    0,    0
  260,20210106,    4,   23,     ,    5,    0,    0,   30,   50,   40,   90,    0,    0
  260,20210106,    5,   22,     ,    5,    0,    0,   40,   40,   40,   80,    0,    0
  260,20210106,    6,   20,   18,    1,    0,    0,   40,   40,   30,   80,    0,    0
  260,20210106,    7,   20,     ,    0,    0,    0,   50,   40,   50,   70,    0,    0
  260,20210106,    8,   20,     ,   -2,    0,    0,   30,   30,   30,   60,    0,    0
  260,20210106,    9,   22,     ,    2,    0,    0,   20,   30,   30,   60,    0,    5
  260,20210106,   10,   25,     ,    4,    0,    0,   20,   30,   30,   50,    0,   15
  260,20210106,   11,   26,     ,    3,    0,    0,   30,   20,   20,   50,    0,   19
  260,20210106,   12,   30,   17,    1,    0,    0,  360,   20,   30,   50,    0,   30
  260,20210106,   13,   31,     ,    0,    0,    0,  350,   20,   20,   40,    0,   18
  260,20210106,   14,   31,     ,    5,    0,    0,  330,   20,   20,   50,    0,   15
  260,20210106,   15,   29,     ,    8,    0,    0,  320,   20,   20,   40,    0,    8
  260,20210106,   16,   27,     ,    2,    0,    0,  330,   20,   20,   40,    0,    1
  260,20210106,   17,   23,     ,    1,    0,    0,  280,   10,   10,   30,    0,    0
  260,20210106,   18,   23,   17,    2,    0,    0,  300,   10,   10,   30,    0,    0
  260,20210106,   19,   23,     ,    0,    0,    0,  290,   10,   10,   20,    0,    0
  260,20210106,   20,   21,     ,    2,    0,    0,  280,   10,   20,   30,    0,    0
  260,20210106,   21,   22,     ,    2,    0,    0,  280,   20,   20,   30,    0,    0
  260,20210106,   22,   22,     ,   -1,    0,   -1,  310,   20,   20,   40,    0,    0
  260,20210106,   23,   15,     ,    3,    0,   -1,  300,   20,   20,   50,    0,    0
  260,20210106,   24,   13,    9,    5,    0,   -1,  270,   10,   10,   30,    0,    0
  260,20210107,    1,   15,     ,    5,    0,   -1,  270,   10,   20,   30,    0,    0
  260,20210107,    2,   13,     ,    5,    0,   -1,  270,   20,   20,   40,    0,    0
  260,20210107,    3,   14,     ,    7,    0,   -1,  270,   20,   20,   30,    0,    0
  260,20210107,    4,   14,     ,    8,    0,   -1,  260,   20,   10,   30,    0,    0
  260,20210107,    5,   16,     ,    8,    0,   -1,  260,   20,   20,   30,    0,    0
  260,20210107,    6,   18,    9,   12,   10,    1,  260,   20,   10,   30,    0,    0
  260,20210107,    7,   20,     ,   14,   10,    1,  280,   20,   20,   40,    0,    0
  260,20210107,    8,   19,     ,   13,    0,   -1,  270,   20,   20,   40,    0,    0
  260,20210107,    9,   24,     ,   19,    7,    1,  270,   20,   20,   40,    0,   11
  260,20210107,   10,   27,     ,   18,   10,    4,  310,   20,   30,   50,    0,   14
  260,20210107,   11,   31,     ,   22,    7,    4,  320,   30,   20,   60,    0,   23
  260,20210107,   12,   37,   12,   26,    0,   -1,  260,   20,   20,   50,    0,   39
  260,20210107,   13,   40,     ,   20,    3,    2,  300,   30,   40,   70,    0,   21
  260,20210107,   14,   28,     ,   19,   10,   20,  290,   30,   20,  100,    0,    9
  260,20210107,   15,   37,     ,   24,   10,    6,  300,   30,   30,   60,    0,    5
  260,20210107,   16,   35,     ,   20,   10,    5,  310,   40,   40,   80,    0,    1
  260,20210107,   17,   33,     ,   23,   10,    3,  300,   30,   20,   80,    0,    0
  260,20210107,   18,   32,   27,   23,   10,    3,  270,   20,   20,   50,    0,    0
  260,20210107,   19,   34,     ,   24,   10,    8,  320,   30,   30,   60,    0,    0
  260,20210107,   20,   29,     ,   25,   10,   11,  320,   20,   10,   50,    0,    0
  260,20210107,   21,   26,     ,   21,   10,    5,  310,   20,   20,   80,    0,    0
  260,20210107,   22,   26,     ,   20,   10,    3,  310,   20,   10,   40,    0,    0
  260,20210107,   23,   26,     ,   21,    6,    1,  300,   20,   10,   40,    0,    0
  260,20210107,   24,   26,   22,   21,    9,    1,  310,   10,   10,   30,    0,    0
  260,20210108,    1,   25,     ,   20,    6,    1,  270,   10,   10,   20,    0,    0
  260,20210108,    2,   25,     ,   21,    0,   -1,  290,   10,   10,   20,    0,    0
  260,20210108,    3,   27,     ,   21,   10,    1,  300,   10,   20,   30,    0,    0
  260,20210108,    4,   26,     ,   22,    0,   -1,  290,   10,   10,   20,    0,    0
  260,20210108,    5,   24,     ,   20,   10,    2,  290,   10,   10,   30,    0,    0
  260,20210108,    6,   13,   10,    9,    0,   -1,  310,   10,   10,   20,    0,    0
  260,20210108,    7,   11,     ,    8,    0,   -1,  320,   10,   10,   20,    0,    0
  260,20210108,    8,   13,     ,   10,    0,   -1,  320,   10,   10,   20,    0,    0
  260,20210108,    9,   20,     ,   17,    0,   -1,  340,   10,   10,   20,    0,    9
  260,20210108,   10,   29,     ,   23,    0,   -1,  360,   10,   20,   30,    8,   39
  260,20210108,   11,   33,     ,   19,    0,    0,   20,   20,   30,   50,    3,   48
  260,20210108,   12,   35,    4,   15,    0,    0,   30,   30,   20,   50,    0,   41
  260,20210108,   13,   39,     ,   16,    0,    0,   20,   20,   10,   40,    0,   38
  260,20210108,   14,   43,     ,   15,    0,    0,   60,   20,   20,   30,    8,   67
  260,20210108,   15,   31,     ,    7,    0,    0,   50,   20,   20,   40,    8,   23
  260,20210108,   16,   10,     ,    1,    0,    0,   20,   10,   10,   20,    0,    5
  260,20210108,   17,   -2,     ,   -6,    0,    0,  310,   10,   20,   20,    0,    0
  260,20210108,   18,  -12,  -20,  -15,    0,    0,  290,   10,   10,   20,    0,    0
  260,20210108,   19,  -20,     ,  -23,    0,    0,  330,   10,   10,   10,    0,    0
  260,20210108,   20,  -14,     ,  -18,    0,    0,    0,   10,    0,   20,    0,    0
  260,20210108,   21,  -18,     ,  -21,    0,    0,  280,   10,   20,   20,    0,    0
  260,20210108,   22,  -20,     ,  -22,    0,    0,  290,   10,   10,   20,    0,    0
  260,20210108,   23,  -25,     ,  -28,    0,    0,  280,   10,   10,   20,    0,    0
  260,20210108,   24,  -28,  -35,  -30,    0,    0,  290,   10,   10,   20,    0,    0
  260,20210109,    1,  -30,     ,  -32,    0,    0,  270,   10,   20,   20,    0,    0
  260,20210109,    2,  -34,     ,  -38,    0,    0,  300,   10,   10,   20,    0,    0
  260,20210109,    3,  -27,     ,  -31,    0,    0,  300,   10,   10,   20,    0,    0
  260,20210109,    4,  -33,     ,  -39,    0,    0,  290,   10,   10,   20,    0,    0
  260,20210109,    5,  -39,     ,  -43,    0,    0,  290,   10,   10,   20,    0,    0
  260,20210109,    6,  -42,  -47,  -45,    0,    0,  320,   10,   10,   20,    0,    0
  260,20210109,    7,  -44,     ,  -48,    0,    0,  290,   10,   20,   30,    0,    0
  260,20210109,    8,  -42,     ,  -46,    0,    0,  290,   10,   10,   20,    0,    1
  260,20210109,    9,  -15,     ,  -20,    0,    0,  330,   10,   10,   30,    7,   23
  260,20210109,   10,    3,     ,   -1,    0,    0,  290,   10,   10,   20,    3,   33
  260,20210109,   11,   37,     ,   20,    0,    0,  280,   10,   10,   20,    7,   60
  260,20210109,   12,   55,  -54,   15,    0,    0,  310,   20,   30,   50,   10,   86
  260,20210109,   13,   57,     ,   19,    0,    0,  300,   20,   20,   60,    7,   71
  260,20210109,   14,   61,     ,   18,    0,    0,  300,   20,   20,   50,   10,   65
  260,20210109,   15,   53,     ,   17,    1,    2,  310,   20,   30,   80,   10,   41
  260,20210109,   16,   31,     ,   21,    6,    3,  270,   20,   10,   60,    0,    2
  260,20210109,   17,   11,     ,    9,    0,    0,  280,   10,   10,   30,    0,    0
  260,20210109,   18,   -8,  -18,  -13,    0,    0,  270,   10,   10,   20,    0,    0
  260,20210109,   19,  -17,     ,  -17,    0,    0,  280,   10,   10,   20,    0,    0
  260,20210109,   20,  -23,     ,  -23,    0,    0,  270,   10,   10,   20,    0,    0
  260,20210109,   21,  -27,     ,  -28,    0,    0,  250,   10,   10,   20,    0,    0
  260,20210109,   22,  -31,     ,  -32,    0,    0,  240,   10,   10,   20,    0,    0
  260,20210109,   23,  -25,     ,  -28,    0,    0,  240,   10,   10,   20,    0,    0
  260,20210109,   24,  -24,  -42,  -27,    0,    0,    0,   10,    0,   20,    0,    0
  260,20210110,    1,  -28,     ,  -31,    0,    0,  230,   10,   10,   10,    0,    0
  260,20210110,    2,  -19,     ,  -22,    0,   -1,  990,   10,   10,   20,    0,    0
  260,20210110,    3,  -28,     ,  -31,    0,   -1,  230,   20,   20,   30,    0,    0
  260,20210110,    4,  -26,     ,  -30,    0,    0,  180,   10,   10,   20,    0,    0
  260,20210110,    5,  -30,     ,  -34,    0,    0,  200,   10,   10,   20,    0,    0
  260,20210110,    6,  -33,  -40,  -38,    0,    0,  190,   10,   10,   10,    0,    0
  260,20210110,    7,  -26,     ,  -30,    0,    0,  200,   10,   10,   20,    0,    0
  260,20210110,    8,  -15,     ,  -17,    0,    0,  190,   10,   10,   20,    0,    0
  260,20210110,    9,   -2,     ,   -6,    0,    0,  200,   10,   20,   30,    0,    9
  260,20210110,   10,   20,     ,   14,    0,    0,  230,   20,   20,   30,    3,   34
  260,20210110,   11,   47,     ,   16,    0,    0,  230,   20,   20,   50,   10,   82
  260,20210110,   12,   50,  -40,   15,    0,    0,  230,   30,   20,   50,    5,   72
  260,20210110,   13,   51,     ,   12,    0,    0,  230,   30,   40,   60,    3,   56
  260,20210110,   14,   46,     ,   12,    0,    0,  230,   30,   40,   60,    3,   37
  260,20210110,   15,   45,     ,   11,    0,    0,  230,   30,   30,   50,    0,   12
  260,20210110,   16,   42,     ,   13,    0,    0,  250,   30,   20,   60,    0,    2
  260,20210110,   17,   39,     ,   13,    0,    0,  230,   30,   30,   60,    0,    0
  260,20210110,   18,   39,   34,   16,    0,    0,  230,   30,   30,   60,    0,    0
  260,20210110,   19,   39,     ,   17,    0,    0,  230,   30,   40,   60,    0,    0
  260,20210110,   20,   37,     ,   19,    0,    0,  210,   40,   40,   70,    0,    0
  260,20210110,   21,   36,     ,   19,    0,    0,  220,   40,   40,   70,    0,    0
  260,20210110,   22,   37,     ,   21,    0,    0,  220,   40,   40,   70,    0,    0
  260,20210110,   23,   35,     ,   21,    0,    0,  210,   40,   40,   70,    0,    0
  260,20210110,   24,   38,   33,   23,    0,    0,  220,   40,   40,   70,    0,    0
  260,20210111,    1,   37,     ,   22,    0,    0,  220,   40,   40,   70,    0,    0
  260,20210111,    2,   36,     ,   21,    0,    0,  210,   40,   50,   70,    0,    0
  260,20210111,    3,   33,     ,   21,    0,    0,  200,   50,   50,   80,    0,    0
  260,20210111,    4,   29,     ,   20,    0,    0,  200,   50,   40,   80,    0,    0
  260,20210111,    5,   34,     ,   25,    0,    0,  210,   40,   40,   80,    0,    0
  260,20210111,    6,   38,   28,   27,    0,    0,  210,   50,   50,   90,    0,    0
