#{"t_start": 1751983792.4486542, "env_id": "None"}
r,l,t
-63030.6063,16151,1376.900909
-63190.393407,16151,1391.661457
-63153.704153,16151,1406.246238
-63206.21544,16151,1420.34958
-64180.959986,16151,1436.089087
-63746.294162,16151,1450.106802
-63749.784679,16151,1464.502018
-63375.581753,16151,1478.787512
-63146.909488,16151,1494.759693
-63572.886103,16151,1508.962031
-63529.264935,16151,1523.387578
-63640.078119,16151,1538.325744
-63281.937229,16151,1554.162044
-63393.587805,16151,1569.314125
-63173.352533,16151,1584.111897
-62695.787472,16151,1598.672155
-62375.119774,16151,1615.123923
-62355.665853,16151,1629.551292
-62907.455138,16151,1644.241875
-62854.082256,16151,1659.094238
-62841.468809,16151,1675.181542
-63012.853591,16151,1690.148532
-63620.220331,16151,1704.004296
-63467.712325,16151,1718.532406
-63112.40331,16151,1734.228795
-62831.655407,16151,1749.276848
-62819.301023,16151,1763.909211
-62831.513486,16151,1778.728766
-63152.945791,16151,1795.34282
-63361.790854,16151,1809.884269
-63552.119775,16151,1823.531594
-63633.482529,16151,1837.792749
-63102.340722,16151,1853.952897
-63269.962006,16151,1868.811967
-62612.752458,16151,1883.695705
-62706.621726,16151,1898.119777
-63269.93821,16151,1914.033141
-63131.34455,16151,1928.49745
-63441.709745,16151,1943.807685
-63542.973838,16151,1957.867067
-64436.907046,16151,1973.616396
-63846.913367,16151,1987.985898
-63790.37324,16151,2002.926262
-63320.270092,16151,2017.52126
-63907.464457,16151,2034.185315
-63331.380414,16151,2048.464561
-62982.007102,16151,2063.023839
-63546.088271,16151,2082.520835
-63191.007712,16151,2095.915178
-62572.865776,16151,2109.854756
-62595.408648,16151,2131.003476
-62735.153318,16151,2144.111412
-62508.320382,16151,2157.979867
-62899.594913,16151,2170.780565
-62665.759953,16151,2184.736798
-62453.210699,16151,2198.068649
-62514.839414,16151,2212.624117
-62505.435279,16151,2225.516376
-62476.176379,16151,2238.272638
-62023.634417,16151,2253.562624
-62109.029376,16151,2267.095704
-61999.457784,16151,2280.429157
-61515.056821,16151,2292.867991
-60874.61613,16151,2305.850198
-60770.81766,16151,2318.113401
-61568.72955,16151,2331.43783
-60823.62971,16151,2344.127787
-61637.752761,16151,2356.553401
-61448.936682,16151,2370.01321
-61317.336773,16151,2382.581289
-61128.756603,16151,2395.913935
-61960.425479,16151,2408.907529
-60489.677799,16151,2422.093084
-59885.639546,16151,2434.790407
-59907.885645,16151,2447.375201
-60221.564377,16151,2460.753614
-59975.648359,16151,2474.214143
-60625.508594,16151,2488.526542
-59977.628642,16151,2501.734966
-59714.485858,16151,2515.539608
-59869.336995,16151,2528.988036
-58641.075942,16151,2543.329755
-58185.830963,16151,2560.296275
-57688.471857,16151,2577.529461
-57775.241613,16151,2590.375067
-59277.237085,16151,2606.012412
-59747.729521,16151,2619.711843
-60135.451787,16151,2633.975836
-59428.956957,16151,2648.095371
-60040.581694,16151,2665.691456
-60998.122566,16151,2683.334997
-60169.538213,16151,2703.874268
-59241.970136,16151,2717.5312
-59412.377054,16151,2733.792387
-58988.147805,16151,2747.503082
-60244.554054,16151,2761.380159
-60211.435071,16151,2780.994242
-60378.657671,16151,2799.10931
-60408.050597,16151,2817.078486
